id,denominacao_atual,endereco,bairro,distrito,secretaria,historico
204,EMEF BRASILIO MACHADO NETO,R ALMIRANTE OTACILIO CUNHA 325,,SAPOPEMBA,EDUCAÇÃO,"Brasílio Machado Neto nasceu em São Paulo - SP, no dia 12 de março de 1900, e faleceu no dia 02 de novembro de 1968, na mesma cidade. Descendente de personagens ilustres, era seu pai Alcântara Machado, escritor, jurista e professor de Medicina Legal. Seu avô, barão Brasílio Machado, foi advogado de renome, jurista, tribuno, político e, professor da Faculdade de Direito de São Paulo. Seu bisavô, o brigadeiro Machado de Oliveira, foi governador das províncias do Pará e do Rio Grande do Sul, ocupando outros cargos na alta administração do País, no tempo do Império. A vida de Brasílio Machado Neto foi marcada por intensa atividade de liderança empresarial. Em 1944, assumiu a presidência da Federação do Comércio de São Paulo, instalando a entidade e organizando o comércio sindicalizado. Com o primeiro dos Conselhos Regionais do Senac e do Sesc, instalou e deu rumo aos respectivos serviços no Estado de São Paulo. Em 1952, foi eleito presidente da Confederação Nacional do Comércio. Assumiu, concomitantemente, a presidência dos Conselhos Nacionais do Senac e do Sesc. Em 1960, foi reconduzido à presidência da Federação do Comércio de São Paulo e dos Conselhos Regionais do Senac e do Sesc, sendo reeleito nos períodos subseqüentes, até a sua morte. Foi eleito deputado estadual em 1946 e deputado federal, de 1954 a 1962. Representou o comércio, as entidades de que fazia parte e o próprio governo brasileiro em numerosas reuniões internacionais, de caráter econômico e social. Foi presidente da Secção Brasileira do Conselho Interamericano do Comércio e Produção e vice-presidente internacional da Comissão Executiva desse mesmo conselho; e membro empregador adjunto do Conselho de Administração da Organização Internacional do Trabalho, em Genebra, Suíça. Machado Neto também exerceu o cargo de primeiro vice-presidente nacional da Legião Brasileira de Assistência (LBA) e presidente e secretário da entidade em São Paulo."
205,EMEF BRASIL JAPAO,R DR PAULO CARVALHO FERREIRA 94,,RIO PEQUENO,EDUCAÇÃO,"Considerando a valiosa contribuição dos japoneses radicados no Brasil para o nosso desenvolvimento, em diversos setores da vida nacional, particularmente na agricultura; Considerando o expressivo significado da visita de suas Altezas os  Príncipes Akihito e Michiko ao Brasil, realçando a integração japonesa na comunidade brasileira; considerando o proposito comum de estritar e ampliar as relações de amizade e intercâmbio entre o Brasil e o Japão."
207,EMEF DEPUTADO CAIO SERGIO POMPEU DE TOLEDO,AV NASCER DO SOL 180,,CIDADE TIRADENTES,EDUCAÇÃO,"Caio Sérgio Pompeu de Toledo, filho de Diderot Pompeu de Toledo e Suzana Abreu Sampaio de Toledo, nasceu em 3 de maio de 1943, em São Paulo (SP). Estudou no Colégio Rio Branco. Depois, na Faculdade de Direito da Universidade de São Paulo, formando-se advogado. Nessa época, já demonstrava sua capacidade de liderança, tendo ocupado inclusive o cargo de Presidente do Partido de Representação Acadêmica (Diretório Acadêmico XI de Agosto), da citada Faculdade. Complementando seus estudos, freqüentou, também, o curso de Economia, Sociologia e Política da Universidade de Harvard, nos EUA, em 1965. Destacou-se na área política, tendo integrado o diretório da Arena, em São Paulo, como representante estudantil. Foi coordenador dos cursos de Informação Política do Departamento de Juventude e Diretor do Instituto de Formação e Estudos Políticos do partido, pelo qual, em 1968, foi eleito vereador. Em 1970, foi eleito deputado estadual e, em 1978, deputado federal. Em 1975, participou ativamente da conhecida Arena de Vanguarda, que se caracterizou como movimento de dissidência. Foi também secretário municipal de Esportes, ocasião em que idealizou e implantou diversas campanhas, entre elas, Adote um Atleta, Ruas de Lazer, Passeio a Pé, Passeio Ciclístico e Bandas de Música, que voltaram a ocupar os coretos e praças. Além disso, implantou o centro Poliesportivo do Ibirapuera (Centro Olímpico de Treinamento e Pesquisa Marechal Mário Ary Pires), sendo este um dos mais bem equipados da América Latina. Reconhecendo a eficiência do trabalho de seu secretário, o ex-prefeito Olavo Setúbal dizia Caio Pompeu de Toledo possuía uma imaginação criadora e a capacidade de se movimentar com poucos recursos. Ocupou o cargo de secretário geral do Diretório Estadual, no período 1981/82, tendo também liderado o processo de incorporação do PP ao PMDB, em São Paulo, ao qual veio a se filiar. Em 1982, candidato a deputado federal, pelo PMDB, foi reeleito. Em 1983, ocupou o cargo de secretário de Estado de Esportes e Turismo. Na ocasião, repetiu o sucesso de sua gestão na administração municipal, pela implantação de diversos programas voltados para a juventude e para idosos, merecendo destaque a criação do Clube de Terceira Idade. Em sua administração, conjuntamente com as prefeituras, implantou mais de 300 ginásios de esportes cobertos no Interior. Reabilitou os tradicionais Jogos Abertos do Interior e instituiu Joguinhos Abertos, destinados às categorias mirim, infantil e juvenil. Incentivou a criação dos parques turísticos nos municípios ribeirinhos das represas das hidrelétricas, localizadas no Rio Tietê, tendo sido o responsável pelo Projeto Futuro, destinado ao tratamento especializado de atletas em São Paulo. no Jardim Zoológico de São Paulo, construiu um anfiteatro para 300 pessoas, onde são realizadas exposições das mais diversas espécies. Criou os Centros de Zoonose e de Inseminação Artificial e organizou uma biblioteca especializada, com mais de 3 mil volumes. Foi idealizador da criação de Albergues da Juventude, instalados em diversas localidades. Restaurou a casa de Afonso Sardinha, construção bastante antiga, situada no Pico do Jaraguá, a fim de instalar um dos albergues. Ele também era poeta e editou dois livros: Eis um Problema (l968) e Têmpora (1974). Antes de falecer, aos 51 anos, no dia 4 de junho de 1994, em São Paulo, Caio Pompeu de Toledo exerceu o cargo de professor das Faculdades Metropolitanas Unidas (FMU), onde lecionava as matérias de Estudo dos Problemas Brasileiros e Direito Internacional."
208,EMEF VISCONDE DE CAIRU,PRAÇA ARARUVA 199,,PENHA,EDUCAÇÃO,"No silêncio da sala, só se ouviu o rabiscar da pena de pato desenhando uma assinatura. Mas, no olhar, na expectativa de todos, podia-se perceber que alguma coisa muito importante estava acontecendo. Em um canto escondido, pela pequena estatura, um homem calvo e encurvado, com cara de bravo, parecia torcer para que tudo acabasse logo. A primeira cláusula do decreto, deixava bem claro o que desejava José da Silva Lisboa: - Que sejam admissíveis, nas alfândegas do Brasil, todo e qualquer gênero, fazendas e mercadorias, transportadas em navios estrangeiros, das potências que se conservam em paz e harmonia com a minha real coroa, ou em navios dos meus vassalos, pagando por entrada 24%. Esta porcentagem era o imposto estabelecido para as importações. Mais adiante, continuava a Carta Régia : - Quem, não só os vassalos, mas também os súditos estrangeiros, possam exportar para os portos que bem lhes parecer, a benefício do comércio e agricultura, que tanto desejo promover, todos e quaisquer gêneros e produções coloniais. O homem que a história conheceria como visconde de Cairu, chamava-se José da Silva Lisboa, possuia três irmãos: Daniel, Baltazar, e Paulino. Daniel ocupou o cargo de padre capelão do Convento da Lapa, por volta de 1822. Baltazar, formou-se com a ajuda de Cairu, destacando-se, mais tarde, como naturalista e jurista, chegando ao Conselho do Império. Por sua vez, de Paulino, a glória foi o filho João, que se notabilizou pela valentia, demonstrada nas guerras do Prata, entre o Brasil e as ex-colônias espanholas, do sul do Continente. Quanto a José, com apenas 8 anos de idade estudou Filosofia, Gramática Latina e ainda aprendeu a tocar piano. Aos 18 anos, foi convidado a lecionar na Universidade de Coimbra, em Portugal. Em 1779, aos 23 anos, José voltou para o Brasil, passando a trabalhar na alfândega até a vinda da família real portuguesa. Cairu só conheceu uma mulher, Ana Benedita de Figueiredo, com a qual teve 14 filhos. Nasceu na Bahia, em 16 de julho de 1756, e morreu no Rio de Janeiro, em 20 de agosto de 1835. Estudou ainda Hebraico e Grego, de cujas cadeiras tornou-se lente substituto. Voltou para o Brasil, designado para a cátedra de Filosofia Moral, na Bahia, devendo-se a ele a criação da cadeira de Língua Grega. Estudante incansável e patriota, cuja maior preocupação era o progresso do Brasil, visconde de Cairu foi um homem que não se envaideceu com conquistas pessoais, usando-as apenas para conseguir os objetivos."
209,EMEF MINISTRO CALÓGERAS,RUA ALSÁCIA 59,,CAMPO BELO,EDUCAÇÃO,"João Pandiá Calógeras nasceu no Rio de Janeiro, no dia 19 de junho de 1870. Como deputado federal, pelo Estado de Minas Gerais, fez aprovar uma lei que estabelecia a divisão da propriedade de Minas, do solo e subsolo, assegurando a desapropriação para o aproveitamento das lavras; chamava-se Lei Calógeras. Baseavase num estudo intitulado As Minas do Brasil e sua Legislação. João Pandiá Calógeras era engenheiro, geólogo e sociólogo. Era dotado de um grau de inteligência sensivelmente frio e penetrante. Foi um profundo estudioso da Geologia e da Agricultura, tendo proferido, inclusive, várias palestras no Exterior. Exerceu cargos políticos, dentre os quais o de ministro da Agricultura, Comércio e Indústria ( 1914 ) e da Fazenda (1916) no governo de Venceslau Braz ( 1918). Calógeras foi, também, o único civil a ocupar, em caráter efetivo, o Ministério da Guerra e da Marinha, o que ocorreu no governo de Epitácio Pessoa (1919 - 1922), provocando grande polêmica. Representou o Brasil em missões diplomáticas e fez parte da delegação brasileira durante a Conferência de Versalhes. Retirou-se da política, dedicando-se à História. Escreveu, entre outros livros: Política Exterior do Brasil (em três volumes, em 1927, 1928 e 1938) e Formação Histórica do Brasil, em 1930. Publicou também Problemas da Administração; Política Comercial do Império; O Marquês de Barbacena; Conceito Cristão do Trabalho. Foi o único civil a ocupar o Ministério da Guerra e da Marinha tributária em Minas Gerais. Morreu na qualidade de constituinte representante de Minas Gerais, em 21 de abril de 1934, no Rio de Janeiro."
210,EMEF PRESIDENTE CAMPOS SALLES,R CAVALHEIRO FRONTINI 87,,SACOMÃ,EDUCAÇÃO,"Manuel Ferraz de Campos Salles nasceu em 15 de fevereiro de 1841, em Campinas (SP), filho de Francisco Manuel de Freitas e de Ana de Campos Ferraz. Concluiu o curso primário em Campinas e o de Humanidades no Colégio Vicente Manuel de Freitas, na Capital. Em 1859, matriculou-se na Faculdade de Direito de São Paulo, no Largo São Francisco, diplomando-se em 1863. ,então, para Campinas, a fim de exercer a advocacia. Em 1865, casou-se com sua prima, Ana Gabriela de Campos, com quem teve 7 filhos. Elegeu-se deputado provincial em 1867 pelo Partido Liberal de São Paulo e, juntamente com Jorge Miranda, apresentou à Câmara projeto de reforma na instrução, pelo qual foi seriamente criticado. Isso fez com que se filiasse ao Partido Radical, pelo qual se elegeu vereador por Campinas. Em 1881, já no Partido Republicano, elegeu-se para Câmara Provincial de São Paulo. Proclamada a República, Campos Salles foi ministro da Justiça do Governo Provisório. Sua opção política e administrativa teve destaque na construção do regime republicano. Entre seus feitos, estão a instituição do casamento civil e a abolição do sistema de gales (acorrentamento) para os prisioneiros. A 19 de outubro de 1897, o Partido pela Convenção indicou Campos Salles como candidato à presidência, tendo sido eleito a 1º de março de 1898. Assumindo seu governo, Campos Salles foi à Europa, onde tratou de conseguir a colaboração de grandes banqueiros. Depois, por meio de economias severas e aumento de imposto de consumo, conseguiu equilibrar a receita com a despesa nos orçamentos. No seu governo, criou-se o Instituto de Manguinhos com a função de fabricar vacinas contra febre bubônica. Para dirigi-lo foi chamado o sanitarista Osvaldo Cruz. Brilhante de inteligência, culto e digno, deixou Campos Salles a Presidência da República com suas finanças saneadas, possiblitando ao sucessor, Francisco de Paula Rodrigues Alves, as realizações de seu governo. Faleceu no Guarujá (SP), em 1913."
211,EMEF CANDIDO PORTINARI,R GUILHERME CORREIA DE MELO 408,,PIRITUBA,EDUCAÇÃO,"Cândido Portinari nasceu em Brodósqui (SP), no dia 29 de dezembro de 1903. Era filho de Giovan Battista Portinari e Domenica di Bassaro Portinari. Em 1918, matriculou-se na Escola de Belas Artes do Rio de Janeiro. Três anos depois, teve sua primeira tela vendida: Baile na Roça. Em 1922, expôs no Salão da Escola de Belas Artes e, no ano seguinte, recebeu a medalha de bronze no Salão da Escola. Ao retratar o poeta Olegário Mariano, ganhou como prêmio uma viagem ao Exterior, em 1928. Visitou a Itália e estabeleceu-se em Paris, França. Casou-se, então, com Maria Martinelli. De volta ao Rio de Janeiro, em 1930, começou seu período criativo. Em 1931, recebeu convite de Lúcio Costa, diretor da Academia Nacional de Belas Artes, a participar do Salão. Em 1932, teve uma exposição individual no Palace Hotel, no Rio de Janeiro. Em 1935, Portinari deu início a sua fase marrom, cujos temas foram trabalho de campo e reminiscências infantis. O Brasil e o mundo passaram a reconhecer cada vez mais sua capacidade de artista. O Museu de Arte Moderna de Nova York adquiriu sua tela O Morro (1938); criou três painéis para o pavilhão brasileiro na Feira Mundial de Nova York. Nasceu o filho João Cândido (1939); expôs individualmente no Museu de Arte Moderna de Nova York (1940); foi convidado para pintar os afrescos da Biblioteca do Congresso, em Washington (EUA) (1942); durante uma exposição sua em Paris, o Museu de Arte Moderna de Paris adquiriu uma bela da série Retirantes e ele recebeu a Legião de Honra do Governo Francês (1946); pintou o painel A Primeira Missa no Brasil para o Banco Boa Vista, no Rio de Janeiro, e Tiradentes para o Colégio de Cataguases, em Minas Gerais (1947); representou o Brasil na Bienal de Veneza (1950); começou o estudo para os painéis Guerra e Paz, terminados em 1956 (1952); pintou a Via-Crucis para a Igreja de Batatais. Portinari ainda expôs em sala especial da III Bienal de São Paulo (1953); expôs em Telavive e Haifa, em Israel, onde pintou vários aspectos da vida do povo israelense; foram inaugurados os painéis Guerra e Paz, na ONU. Recebeu o Prêmio Guggenheim, em Nova York. Expôs em Paris e Munique (1956); expôs os desenhos sobre Israel em Bolonha, Lima, e Buenos Aires; recebeu o prêmio Ciudad de Mexico, na Primeira Bienal Interamericana; participou da exposição 50 Anos de Arte Moderna, em Bruxelas (1958); expôs em Praga, Tchecoslováquia. Nasceu, no Rio de Janeiro, sua neta Denise (1960). Cândido Portinari faleceu no dia 6 de fevereiro de 1962, no Rio de Janeiro, com 59 anos de idade."
212,EMEF CAPISTRANO DE ABREU,R MANUEL MARTINS DE MELO 608,,ITAIM PAULISTA,EDUCAÇÃO,"João Capistrano de Abreu, natural de Maranguape (CE), nasceu no dia 23 de outubro de 1853. Seus primeiros estudos foram feitos em sua cidade natal e no ginásio da capital cearense, Fortaleza. Matriculado no seminário episcopal, foi expulso por insubordinação. De volta à Maranguape, foi iniciado no trabalho agrícola, exercido por toda a família. Mas não se adaptou e, em 1869, embarcou para Recife, a fim de concluir o curso preparatório e ingressar na Faculdade de Direito. Interessando-se mais pela História e pela Literatura, vê-se reprovado nos exames vestibulares, tendo de retornar a Maranguape, para ajudar a família. Após alguns meses de trabalho na lavoura, voltou a Fortaleza, onde se aproximou dos intelectuais da época. Assim, iniciou sua atividade jornalística. Em 1875, depois de conviver com Tobias Barreto e Silvio Romero, em Recife (PE), e de participar ativamente na chamada Academia Francesa, no Ceará, transferiu-se para o Rio de Janeiro (RJ). Passou a colaborar em O Globo e, depois, em A Gazeta de Notícias, estabelecendo ainda relações com importantes figuras literárias da corte. Em 1879, entrou para a Biblioteca Nacional, que se converteu em seu local de trabalho e pesquisa. Foi professor de Geografia e História do Brasil do Colégio Pedro II, sendo nomeado por concurso, em que apresentou tese sobre o Descobrimento do Brasil e o Desenvolvimento no Século XVI (1883). Foi eleito membro do Instituto Histórico Geográfico Brasileiro, em 1887. Ninguém, como ele, foi provido por um senso histórico e erudição tão notáveis para escrever, depois de Southey e de Varnhagem. Muito citada é a frase em que diz que : “Nossa história não poderia ser escrita antes de se escrever a história da Companhia de Jesus no Brasil”. Capistrano ocupou-se sobretudo de pesquisas sobre o século do Descobrimento, acerca do qual tratou nas seguintes obras: O Descobrimento do Brasil, Capítulos de Histórias Coloniais, Caminhos Antigos e Povoamento do Brasil. Esta especialização não o impediu de estudar e meditar sobre o conjunto de nossa história, ao qual lhe parecia, à luz da Sociologia, um grande facho luminoso, como um todo corrente e solitário. Pode-se até mesmo chegar a afirmar que essa mesma visão panorâmica relativa à evolução de nossa história literária, a qual chegou mesmo a se traçar em algumas páginas dos materiais e informações para a História e Geografia do Brasil, vem a ser dotado de um sumário extremamente luminoso. Notáveis ainda são os estudos que deixou sobre costumes e línguas dos índios Lacairis e Caxinauas, aprendendo a língua destes com a convivência de dois silvícolas trazidos da Amazônia e por ele instalados em sua própria casa. Tais pesquisas sobre os índios estão compreendidas no livro Gramática Texto e Vocabulário Caxinauás. A orientação histórica de Capistrano de Abreu revelou-se fecunda, na influência que se exerceu sobre estudiosos de épocas posteriores. Capistrano de Abreu foi casado com Maria José de Castro Fonseca, filha da escritora Adélia Josefina de Castro Fonseca. Faleceu no dia 13 de Agosto de 1927, aos 74 anos, no Rio de Janeiro."
213,EMEF CARLOS AUGUSTO DE QUEIROZ ROCHA,AV SANTO AFONSO 775,,CIDADE ADEMAR,EDUCAÇÃO,"Professor e cientista social, Carlos Augusto de Queiroz Rocha foi, antes de tudo, um poeta que dedicou sua inteligência e sensibilidade à emancipação de um povo. Nasceu no dia 30 de outubro de 1951, em São Paulo (SP). O professor Guto, como o chamavam seus alunos, amigos e parentes, era filho de Dulcina Queiroz Rocha e de Martim Francisco de Queiroz Rocha. Em 1964, ingressou no curso ginasial do Colégio Estadual Dr. Ministro Costa Manso, permanecendo até a conclusão do 2º. Grau, em 1970. Nessa escola viveu os dias agitados de 1964 e, cedo, revelou sua indignação com os rumos que a vida política brasileira viria a conhecer sob o regime da ditadura militar implantada no Brasil. Extrovertido, alegre e sempre solidário, Carlos Augusto era querido por todos que se uniam na luta pelo fim do regime militar. Neste período, embora fosse ainda secundarista, participava das reuniões com inúmeros universitários, mostrando segurança e firmeza na apresentação de seus pontos de vista. Participou das lutas estudantis de 1968. Não demorou para transformar aquilo que poderia ser apenas um entusiasmo juvenil, ganhando contornos de opinião solidamente formados. Carlos Augusto, talvez já soubesse, era um poeta e, para homens dotados dessa sensibilidade e vocacionados para o gozo da vida em liberdade, os tempos negros que se abateriam com a edição do Ato Institucional nº 5 foram muito tristes. Carlos Augusto foi preso em 18 de julho de 1969, espancado e torturado. Esse episódio serviu, no entanto, para revelar aos seus valores, o lado da bravura e da coragem que se escondiam atrás de sua figura loira, amável e frágil. Impiedosamente interrogado para delatar seus amigos, não cedeu e conquistou ainda mais o respeito e admiração daqueles jovens que haviam feito das lutas pela liberdade em nosso país a razão de suas vidas. Concluiu em 1977 o curso de Ciências Políticas e Sociais na Fundação Escola de Sociologia e Política de São Paulo. Em 1978, ingressou no curso de mestrado em Ciências Políticas na Universidade de São Paulo. Sua antiga paixão política era agora realizada, pela determinada pesquisa, tendo ele sido orientado pela professora Maria do Carmo Campelo de Souza, sobre o Partido Socialista Brasileiro, no período compreendido entre 1945 e 1966. Nessa ocasião, era monitor do curso de Especialização e Participação Popular, como também de Movimentos Sociais e Urbanos, na Pontifícia Universidade Católica (PUC/SP). Seu bom desempenho neste curso de aperfeiçoamento garantiu-lhe um convite da PUC para lecionar Métodos e Técnicas de Pesquisa, durante os anos de 1978 e 1979. Com a abertura política e a anistia, decide-se por abraçar o magistério na rede estadual de ensino, passando a ministrar aulas no município de São Sebastião. Nesse período, também colaborou com a apreciação e a revisão para as editoras Moderna e Brasiliense. Em 1989, passou a integrar o quadro do subprograma Waimiri-Atroari, em um convênio Funai/Eletronorte, em aldeia do Amazonas, ensinando e alfabetizando essa população em sua própria língua. Carlos Augusto deixou uma contribuição de relevante valor. Compôs uma equipe para a elaboração de um dicionário bilingüe Português/Waimiri-Atroari. Essa mesma equipe reuniu e publicou um livro de histórias e mitologia daquele povo, além de um manual de saúde com um método de aprendizagem básico no idioma Waimiri/Atroari. Foi na densa Floresta Amazônica, onde encontrava-se com sua aura, clara de incomensurável honestidade, dedicada à preservação da cultura daqueles povos, ameaçados de extinção, que sua saúde fragiliza-se, até levá-lo à morte, no dia 6 de outubro de 1991. Sua obra literária é composta de poemas e contos, sendo a nós legada em forma de cadernos, nos quais destilava toda a sua sensibilidade. Poeta de talento e comprometido com seu tempo, sua obra apresenta real valor literário."
214,EMEF CARLOS CHAGAS,AV OSVALDO VALLE CORDEIRO 337,JD. BRASILIA (CID. LIDER),CIDADE LÍDER,EDUCAÇÃO,"O cientista Carlos Ribeiro Justiniano das Chagas nasceu em Oliveiras (MG), em 9 de julho de 1879. Formou-se pela Faculdade de Medicina do Rio de Janeiro, em 1903, embora um ano antes já trabalhasse no Instituto Oswaldo Cruz, o qual viria a chefiar a partir de 1917, dando continuidade à obra daquele cientista. Combateu a malária em Santos (SP) e elaborou a teoria da transmissão desta doença por mosquitos, preconizando a aplicação de inseticidas na sua erradicação. Em 1909, Carlos Chagas descobriu o agente transmissor de uma doença endêmica do interior do Brasil, ao qual denominou Tripanosoma cruzi, em homenagem à Oswaldo Cruz. A moléstia ocasionada por ele passou a ser conhecida como doença de Chagas. A descoberta de Carlos Chagas veio abrir caminho para a erradicação desta doença, pelo combate ao barbeiro, inseto veiculador do Tripanosoma. O cientista levantou que o barbeiro oculta-se nas choupanas, casebres e casas de madeira nas regiões rurais, nas frestas dos telhados e das paredes; à noite sai de seu esconderijo e pica as pessoas adormecidas, sobretudo nas regiões de pele mais fina como pálpebras, pescoço, dorso das mãos e braços, contaminando-as. O trabalho de saneamento, então, deveria ser feito por meio da aplicação de inseticidas, higiene e orientação ao pessoal e, no caso de contaminação, seria necessário um tratamento médico intensivo. A contribuição de Carlos Chagas foi reconhecida em todos os meios científicos do mundo. Criou-se para ele um lugar especial na Academia Nacional de Medicina. Em 1912, recebeu o prêmio Shaudinn, concedido ao melhor estudo sôbre Protozoologia e Microbiologia. Foi agraciado também com o prêmio Kummel, conferido pela Universidade de Hamburgo, e títulos de Magister Honoris Causa das Universidades de Paris e Harvard. Veio a falecer no Rio de Janeiro, a 8 de novembro de 1934, deixando, além de seus trabalhos no campo da Medicina, algumas obras científicas de inestimável valor: Estudos Hematológicos do Impaludismo,  hematologia do Impaludismo, Profilaxia Antipalúdica, Nova Espécie de aenorynchus, Nova Espécie Mórbida do Homem produzida por um Tripanosoma, Classificação e Descrição de Diversas Espécies de Anofelinos e Culicídios, Descrição de uma Nova Moléstia Humana Transmitida pelo Barbeiro e Patogenia da Tripanosomíase Americana."
215,EMEF PROFESSOR CARLOS CORREA MASCARO,TRAVESSA SALVE A MOCIDADE 932,,IGUATEMI,EDUCAÇÃO,"Carlos Corrêa Mascaro, filho de Ambrósio Mascaro e Etelvina Correa Mascaro, nasceu em Casa Branca (SP), em 15 de janeiro de 1911. Foi casado com Maria de Lourdes Alkmim Mascaro. Formou-se Professor Primário na Escola Normal de Casa Branca em 1930. Na Faculdade de Filosofia Ciências e Letras da Universidade de São Paulo, licenciou-se em Filosofia, em 1937; tornou-se professor secundário em 1951, doutorou-se em Educação, em 1957, e tornou-se livre docente da cadeira de Administração Escolar, em 1959. Fez os cursos de Orientação Educacional no Departamento de Educação, em 1946, e de Administração Pública Municipal na Escola de Sociologia e Política de São Paulo, em 1950. Sua atuação como professor teve início, como substituto efetivo da Escola de Aplicação da Escola Normal de Casa Branca, e substituto de professor da escola masculina, urbana do bairro da Estação, em Casa Branca, professor primário do Grupo Escolar de São Bernardino de Campos em 1932. Em 1933 foi secretário de Delegacia Regional de Ensino em Santa Cruz do Rio Pardo (SP) e em 1934 foi professor primário do Grupo Escolar de Mirassol. O ensino secundário e normal teve a sua contribuição de 1937 a 1956, em escolas de diversos municípios, desempenhando as mais variadas funções dentro do magistério. Na Faculdade de Filosofia Ciências e Letras da USP, foi assistente extranumerário, assistente substituto e assistente da cadeira de Administração Escolar e Educação Comparada. Na Educação, a atuação de Carlos Corrêa Mascaro foi marcada pelos diversos cargos e funções que exerceu nas redes estadual, federal e particular, pelos congressos de que participou, pelas conferências e palestras proferidas, pelos trabalhos publicados e pela colaboração prestada em jornais e revistas."
216,EMEF CARLOS DE ANDRADE RIZZINI,R OMAR CARDOSO 99,,SANTO AMARO,EDUCAÇÃO,"Carlos de Andrade Rizzini nasceu em Taubaté (SP), no dia 25 de novembro de 1898. No decorrer de sua vida, veio a exercer várias funções, tais como diretor do Serviço de Difusão da Rádio Educativa do MEC, secretário de Educação e Cultura do Município de São Paulo, diretor dos Diários e Emissoras Associados, vice-presidente da Organização Vitor Costa, diretor do Jornal do Comércio e do Diário de Notícias, do Rio de Janeiro, e do Última Hora, de São Paulo. Como escritor, publicou vários livros, entre eles, Hipólito da Costa, O Correio Brasileiro e O Jornal e a Tipografia do Brasil. Aos 21 anos, depois de concluir os estudos no Colégio D. Pedro II, no Rio de Janeiro, iniciou sua carreira jornalística em O Jornal, como repórter, cursando ao mesmo tempo a Faculdade de Direito. Destacado como repórter da Estrada de Ferro, apanhava notas na diretoria e sessões da Central do Brasil, sobre pessoas importantes que partiam e chegavam. Em 1920, Rizzini passou a lecionar de História e Geografia no Ginásio Metropolitano do Colégio Silvio Leite e Liceu Francês, depois de haver feito traduções da língua inglesa e francesa para o jornal. Em 1921, aos 23 anos, já ocupava o cargo de diretor de redação do jornal. Em 1923, vai para Petrópolis, onde dirigiu A Tribuna local, fundando, depois, o Jornal de Petrópolis. Além de seu trabalho jornalístico, Rizzini também advogou e foi delegado de polícia. Na política, foi eleito deputado estadual, de 1927 até 1930, acumulando a função de vereador de Petrópolis (RJ), tendo sido eleito vice-presidente da Assembléia Legislativa do Rio de Janeiro. Em 1930, iniciou sua atividade no jornalismo do Rio de Janeiro, como secretário do Diário da Noite, passando pela direção de O Jornal e da Rádio Tupi. Foi homem de confiança de Assis Chateaubriand, dirigindo as Empresas Associadas do Rio Grande do Sul e do Rio de Janeiro, entre 1940 e 1955. Foi membro diretor do serviço de Rádio Difusão Educativa do MEC e presidente do Sindicato das Empresas Proprietárias de Jornais e Revistas do Estado de São Paulo, nas gestões de 1943 a 1945 e de 1952 a 1953. Em 1943, foi eleito presidente do Clube de Diretores de Jornais de São Paulo, cargo exercido até 1965. Na gestão do prefeito Prestes Maia, ocupou o cargo de secretário municipal da Educação. Também, ocupou a direção da Escola de Jornalismo Casper Líbero, em 1962. Como escritor, publicou vários livros e foi empossado em 29 de janeiro de 1965, na Academia Paulista de Letras, anteriormente ocupada por Spencer Van Press. Seus amigos diziam que era um homem culto, sem afetação, modesto e fraternal. Diziam, também, ser muito fácil encontrá-lo: sempre na redação do jornal ou em uma livraria. Rizzini faleceu em 19 de julho de 1972, em Tremembé (SP)."
217,EMEF PROFESSOR CARLOS PASQUALE,AV BARAO DE ALAGOAS 223,,ITAIM PAULISTA,EDUCAÇÃO,"Carlos Pasqualle nasceu em 9 de outubro de 1906, em Piracicaba (SP). Quarto filho dos oito do casal Luiz Paqualle e Adelaide Zanotta Pasqualle, família de classe média, que mudou-se para a Capital, Carlos iniciou seus estudos no Grupo Escolar da Consolação e cursou o secundário no ginásio do Estado do Parque Dom Pedro II. Sem condições financeiras para compras de livros, era assíduo frequentador das poucas bibliotecas existentes na cidade, com a finalidade de sanar suas dúvidas. Para satisfazer o sonho de seu pai, começou a estudar Medicina. Seu projeto pessoal, porém, não coincidia com o do pai. Assim, iniciou as atividades ligadas ao ensino bastante jovem. Ainda como estudante de Medicina, lecionou Química e Ciências Físicas e Biológicas nos Ginásios do Estado, de São Bento (1929), Oswaldo Cruz (1929-1931) e Paulistano (1931-1942). Deste último, foi fundador em 1932 com seus irmãos. Atuou como professor e diretor. E sob a sua enérgica e competente direção, tornou o Paulistano uma das melhores escolas do ensino médio particular do Estado de São Paulo. Desistiu da Medicina no dia da colação de grau, para abraçar definitivamente a Educação, propósito ao qual se dedicou até o último momento da vida. Somente durante a Revolução de 1932 é que atuou na Medicina. Homem que conseguiu reunir sem conflitos a doçura da criança, o espírito brincalhão e irônico com que acostumava tratar as coisas sérias, sobretudo as que lhe diziam respeito, o executivo, o homem de ação, a criatura de brilhante inteligência e de incomum sensibilidade, mesmo sem ser político, Pasqualle participou efetivamente dos Conselhos Estadual e Federal de Educação e da Secretaria de Estado da Educação, com o objetivo de promover o acesso de todos os brasileiros à Educação. Com sua esposa, Elza Pasqualle, teve duas filhas. Faleceu n dia 27 de agosto de1970, em São Paulo."
